,band_singer,ranking,song,title,genre,year,active_years
3025,Madonna,25,Like a Prayer,Like a Prayer,"['Dance-pop', 'pop rock', 'gospel']",1989,1979–present
3026,New Kids on the Block,26,"[""I'll Be Loving You (Forever)""]",I'll Be Loving You (Forever),['PopR&Bblue-eyed soul'],1989,1984–1994 2008–present
3027,Breathe,27,How Can I Fall?,How Can I Fall?,['Soft rock'],1989,1984–1992
3028,Milli Vanilli,28,"[""Baby Don't Forget My Number""]",Baby Don't Forget My Number,['Dance-pop'],1989,1988 1998
3029,Martika,29,Toy Soldiers,Toy Soldiers,"['Pop rock', 'gothic rock']",1989,1982–1992 2000–present
3030,Paula Abdul,30,Forever Your Girl,Forever Your Girl,"['Dance-pop', 'new jack swing']",1989,1978–present
3031,Mike + The Mechanics,31,The Living Years,The Living Years,['Soft rock'],1989,1985–2004 2010–present
3032,The Bangles,32,Eternal Flame,Eternal Flame,['Soft rock'],1989,1981–1989 1998–present
3033,Tone Loc,33,Wild Thing,Wild Thing,['Rap rock'],1989,1987–present
3034,Bad English,34,When I See You Smile,When I See You Smile,"['Glam metal', 'soft rock']",1989,1987–1991
3035,Cher,35,If I Could Turn Back Time,If I Could Turn Back Time,"['Pop rock', 'soft rock']",1989,1963–present
3036,Neneh Cherry,36,Buffalo Stance,Buffalo Stance,"['Hip hop', 'dance-pop', 'freestyle']",1989,1980–present
3037,Sheriff,37,"[""When I'm with You""]",When I'm with You,['Soft rock'],1989,1979–1985
3038,Taylor Dayne,38,"[""Don't Rush Me""]",Don't Rush Me,[],1989,1985–present
3039,Bon Jovi,39,Born to Be My Baby,Born to Be My Baby,['Glam metal'],1989,1983–present
3040,Fine Young Cannibals,40,Good Thing,Good Thing,"['Northern soul', 'pop-soul']",1989,1984–1992 1996
3041,Sheena Easton,41,The Lover in Me,The Lover in Me,[],1989,1978–present
3042,Young MC,42,Bust a Move,Bust a Move,['Hip hop'],1989,1987–present
3043,Great White,43,"Once Bitten, Twice Shy","Once Bitten, Twice Shy",['Rock and roll'],1989,1977–2001 2006–present
3044,Prince,44,Batdance,Batdance,['Rockfunkdance'],1989,1975–2016
3045,Michael Damian,45,Rock On,Rock On,['Glam rock'],1989,1980–present
3046,Jody Watley,46,Real Love,Real Love,['New jack swing'],1989,1973–present
3047,"[""The B-52's""]",47,Love Shack,Love Shack,['Pop rock'],1989,1976–present
3048,Bobby Brown,48,Every Little Step,Every Little Step,"['R&B', 'new jack swing']",1989,1978–present
3049,New Kids on the Block,49,"[""Hangin' Tough""]",Hangin' Tough,['Pop rockdance rockfunk rock'],1989,1984–1994 2008–present
3050,Rod Stewart,50,"[""My Heart Can't Tell You No""]",My Heart Can't Tell You No,['Soft rock'],1989,1961–present
3051,Love and Rockets,51,So Alive,So Alive,"['Funk', 'dance-pop']",1989,1985–1999 2007–2009 2023
3052,New Kids on the Block,52,You Got It (The Right Stuff),You Got It (The Right Stuff),['R&B'],1989,1984–1994 2008–present
3053,Def Leppard,53,Armageddon It,Armageddon It,['Hard rockpop metal'],1989,1976–present
3054,Richard Marx,54,Satisfied,Satisfied,['Pop rock'],1989,1980–present
3055,Madonna,55,Express Yourself,Express Yourself,['Dance-popdeep funk'],1989,1979–present
3056,Dino,56,I Like It,I Like It,['Dance-popnew jack swing'],1989,1987–1993
3057,Donny Osmond,57,Soldier of Love,Soldier of Love,"['New jack swing', 'pop', 'R&B']",1989,1963–present
3058,Tears for Fears,58,Sowing the Seeds of Love,Sowing the Seeds of Love,['Psychedelic pop'],1989,1981–present
3059,Madonna,59,Cherish,Cherish,['Pop'],1989,1979–present
3060,White Lion,60,When the Children Cry,When the Children Cry,['Glam metal'],1989,1983–1992 1999–2013
3061,Skid Row,61,18 and Life,18 and Life,['Glam metal'],1989,1986–1996 1999–present
3062,Duran Duran,62,"[""I Don't Want Your Love""]",I Don't Want Your Love,"['New wave', 'freestyle']",1989,1978–present
3063,.38 Special,63,Second Chance,Second Chance,"['Soft rock', 'Adult Contemporary']",1989,1974–present
3064,Karyn White,64,The Way You Love Me,The Way You Love Me,"['R&B', 'new jack swing']",1989,1986
3065,Tone Loc,65,Funky Cold Medina,Funky Cold Medina,[],1989,1987–present
3066,The Bangles,66,In Your Room,In Your Room,"['Pop rock', 'power pop']",1989,1981–1989 1998–present
3067,Natalie Cole,67,Miss You Like Crazy,Miss You Like Crazy,[],1989,1956–2015
3068,The Cure,68,Lovesong,Lovesong,['Gothic rock'],1989,1978–present
3069,Karyn White,69,Secret Rendezvous,Secret Rendezvous,['New jack swing'],1989,1986
3070,The Jeff Healey Band,70,Angel Eyes,Angel Eyes,[],1989,1981–2008
3071,"[""Guns N' Roses""]",71,Patience,Patience,"['Acoustic rock', 'folk rock']",1989,1985–present
3072,Eddie Money,72,Walk on Water,Walk on Water,['Pop rock'],1989,1974–2019
3073,New Kids on the Block,73,Cover Girl,Cover Girl,['Pop rock'],1989,1984–1994 2008–present
3074,"[""Guns N' Roses""]",74,Welcome to the Jungle,Welcome to the Jungle,"['Glam metal', 'hard rock']",1989,1985–present
3075,Surface,75,Shower Me With Your Love,Shower Me With Your Love,['Soul'],1989,1983
3076,R.E.M.,76,Stand,Stand,"['Pop rock', 'sunshine pop', 'bubblegum pop']",1989,1980–2011
3077,Lita Ford,77,Close My Eyes Forever,Close My Eyes Forever,['Glam metal'],1989,1975 1967–present
3078,Tiffany,78,All This Time,All This Time,['Pop'],1989,1981
3079,Cher,79,After All,After All,['Pop'],1989,1963–present 1962–2019
3080,Bobby Brown,80,Roni,Roni,['R&B'],1989,1978–present
3081,Aerosmith,81,Love in an Elevator,Love in an Elevator,"['Glam metal', 'pop\xa0metal', 'blues\xa0rock', 'hard\xa0rock']",1989,1970–present
3082,Bon Jovi,82,Lay Your Hands on Me,Lay Your Hands on Me,['Glam metal'],1989,1983–present
3083,When in Rome,83,The Promise,The Promise,"['New wave', 'synth-pop', 'dance-rock']",1989,1987–1990
3084,Edie Brickell & New Bohemians,84,What I Am,What I Am,[],1989,1985–1991 1997–present
3085,Boys Club,85,"""I Remember Holding You""","""I Remember Holding You""",[],1989,
3086,"[""Guns N' Roses""]",86,Paradise City,Paradise City,"['Glam metal', 'hard rock', 'heavy metal']",1989,1985–present
3087,Samantha Fox,87,I Wanna Have Some Fun,I Wanna Have Some Fun,['Freestylehouse'],1989,1983–1987 1983–present 1992-present
3088,Rick Astley,88,She Wants to Dance with Me,She Wants to Dance with Me,['Dance-popdisco'],1989,1985–1993 2000–present
3089,Vanessa Williams,89,"[""Dreamin'""]",Dreamin',"['R&B', 'soul', 'smooth jazz']",1989,1979–present
3090,Babyface,90,"[""It's No Crime""]",It's No Crime,['New jack swing'],1989,1974–present
3091,Alice Cooper,91,Poison,Poison,['Glam metal'],1989,1964–present
3092,Donna Summer,92,"[""This Time I Know It's for Real""]",This Time I Know It's for Real,['Dance-pop'],1989,1968–2012
3093,Michael Jackson,93,Smooth Criminal,Smooth Criminal,"['Pop', 'R&B']",1989,1964–2009
3094,Deon Estus,94,"""Heaven Help Me""","""Heaven Help Me""",[],1989,1975–2021
3095,Bobby Brown,95,"[""Rock Wit'cha""]",Rock Wit'cha,['R&B'],1989,1978–present
3096,Sa-Fire,96,Thinking of You,Thinking of You,"['Pop rock', 'adult contemporary', 'freestyle', 'R&B']",1989,1986–present
3097,Exposé,97,"[""What You Don't Know""]",What You Don't Know,"['Freestyle', 'dance-pop']",1989,1984
3098,Ann Wilson,98,Surrender To Me,Surrender To Me,['Rock'],1989,1967–present 1973–present
3099,Don Henley,99,The End of the Innocence,The End of the Innocence,[],1989,1970–present
3100,Soul II Soul,100,"[""Keep on Movin'""]",Keep on Movin',['R&Bsoul'],1989,1988
3101,Wilson Phillips,1,Hold On,Hold On,['Pop'],1990,1989–1993 2001 2004–2006 2010–present
3102,Roxette,2,It Must Have Been Love,It Must Have Been Love,"['Soft rock', '']",1990,1986–2019
3103,"[""Sinéad O'Connor""]",3,Nothing Compares 2 U,Nothing Compares 2 U,['Pop'],1990,1986–present
3104,Bell Biv DeVoe,4,Poison,Poison,['New jack swing'],1990,1989–present
3105,Madonna,5,Vogue,Vogue,['House'],1990,1979–present
3106,Mariah Carey,6,Vision of Love,Vision of Love,['PopR&B'],1990,1988–present
3107,Phil Collins,7,Another Day in Paradise,Another Day in Paradise,['Soft rock'],1990,1963–2011 2015–present
3108,En Vogue,8,Hold On,Hold On,['R&Bnew jack swing'],1990,1989–present
3109,Billy Idol,9,Cradle of Love,Cradle of Love,['Rock'],1990,1976–present
3110,Jon Bon Jovi,10,Blaze of Glory,Blaze of Glory,['Hard rock'],1990,1975–present
3111,Bell Biv DeVoe,11,Do Me!,Do Me!,['New jack swing'],1990,1989–present
3112,Michael Bolton,12,How Am I Supposed to Live Without You,How Am I Supposed to Live Without You,['Pop'],1990,1975–present
3113,Technotronic,13,Pump Up the Jam,Pump Up the Jam,"['House', 'hip house', 'Eurodance', 'New beat']",1990,1987–2002
3114,Paula Abdul,14,Opposites Attract,Opposites Attract,['Funk'],1990,1978–present
3115,Janet Jackson,15,Escapade,Escapade,"['Dance-pop', 'new jack swing']",1990,1974–present
3116,Heart,16,All I Wanna Do Is Make Love to You,All I Wanna Do Is Make Love to You,[],1990,1973–1998 2002–2016 2019–present
3117,Maxi Priest,17,Close to You,Close to You,"['Soul', 'reggae fusion', 'new jack swing']",1990,1984–present
3118,Alannah Myles,18,Black Velvet,Black Velvet,"['Country rock', 'blues rock']",1990,1977–present
3119,Wilson Phillips,19,Release Me,Release Me,[],1990,1989–1993 2001 2004–2006 2010–present
3120,Linda Ronstadt,20,"[""Don't Know Much""]",Don't Know Much,['Soft rock'],1990,1967–2011 1960–present
3121,Lisa Stansfield,21,All Around the World,All Around the World,[],1990,1976–present
3122,Calloway,22,I Wanna Be Rich,I Wanna Be Rich,['R&B'],1990,1987–present
3123,Johnny Gill,23,Rub You the Right Way,Rub You the Right Way,['New jack swing'],1990,1982–present
3124,Glenn Medeiros,24,"[""She Ain't Worth It""]",She Ain't Worth It,['New jack swing'],1990,1986–2007 1978–present
3125,Sweet Sensation,25,If Wishes Came True,If Wishes Came True,['Pop rock'],1990,1986 2005-present
3126,Snap!,26,The Power,The Power,['Eurodance'],1990,1989–1996 2000–present
3127,Nelson,27,"[""(Can't Live Without Your) Love and Affection""]",(Can't Live Without Your) Love and Affection,['Glam metal'],1990,1986–present
3128,Taylor Dayne,28,Love Will Lead You Back,Love Will Lead You Back,"['Pop', 'soul']",1990,1985–present
3129,Jane Child,29,"[""Don't Wanna Fall in Love""]",Don't Wanna Fall in Love,[],1990,1987–2007
3130,Seduction,30,Two to Make It Right,Two to Make It Right,[],1990,1988–1991 2003
3131,Linear,31,Sending All My Love,Sending All My Love,['Freestyle'],1990,1989–present
3132,Poison,32,Unskinny Bop,Unskinny Bop,['Glam metal'],1990,1983–present
3133,New Kids on the Block,33,Step by Step,Step by Step,"['Dance-pop', 'disco']",1990,1984–1994 2008–present
3134,Roxette,34,Dangerous,Dangerous,[],1990,1986–2019
3135,Billy Joel,35,"[""We Didn't Start the Fire""]",We Didn't Start the Fire,['Pop rock'],1990,1964
3136,James Ingram,36,"[""I Don't Have the Heart""]",I Don't Have the Heart,"['Pop', 'R&B']",1990,1973–2019
3137,Rod Stewart,37,Downtown Train,Downtown Train,[],1990,1961–present
3138,Janet Jackson,38,Rhythm Nation,Rhythm Nation,"['Dance', 'pop']",1990,1974–present
3139,Tommy Page,39,"[""I'll Be Your Everything""]",I'll Be Your Everything,"['Pop', 'Teen pop']",1990,1985–2017
3140,"[""The B-52's""]",40,Roam,Roam,[],1990,1976–present
3141,Jody Watley,41,Everything,Everything,['Pop'],1990,1973–present
3142,Soul II Soul,42,Back to Life (However Do You Want Me),Back to Life (However Do You Want Me),"['R&B', 'proto-jungle']",1990,1988 1976–present
3143,Luther Vandross,43,Here and Now,Here and Now,"['R&B', 'soul', 'adult contemporary']",1990,1969–2004
3144,Janet Jackson,44,Alright,Alright,"['R&B', 'new jack swing', 'funk']",1990,1974–present
3145,Vanilla Ice,45,Ice Ice Baby,Ice Ice Baby,['Hip hop'],1990,1985–present
3146,Milli Vanilli,46,Blame It on the Rain,Blame It on the Rain,['Dance-pop'],1990,1988 1998
3147,MC Hammer,47,Have You Seen Her,Have You Seen Her,"['R&B', 'soul']",1990,1985–present
3148,Taylor Dayne,48,With Every Beat of My Heart,With Every Beat of My Heart,['Dance-pop'],1990,1985–present
3149,Janet Jackson,49,Come Back to Me,Come Back to Me,['R&B'],1990,1974–present
3150,"[""Michel'le""]",50,No More Lies,No More Lies,['R&Bdance'],1990,1987–present
3151,George Michael,51,Praying for Time,Praying for Time,['Pop'],1990,1981–2016
3152,Michael Bolton,52,How Can We Be Lovers,How Can We Be Lovers,[],1990,1975–present
3153,Phil Collins,53,Do You Remember?,Do You Remember?,"['Soft rock', 'heartland rock', 'pop']",1990,1963–2011 2015–present
3154,After 7,54,Ready or Not,Ready or Not,['R&B'],1990,1987–1997 2006–present
3155,MC Hammer,55,"[""U Can't Touch This""]",U Can't Touch This,['Hip hop'],1990,1985–present
3156,Phil Collins,56,I Wish It Would Rain Down,I Wish It Would Rain Down,['Soft rock'],1990,1963–2011 2015–present
3157,Lou Gramm,57,Just Between You and Me,Just Between You and Me,['Pop rock'],1990,1974–present
3158,Phil Collins,58,Something Happened on the Way to Heaven,Something Happened on the Way to Heaven,['House'],1990,1963–2011 2015–present
3159,Janet Jackson,59,Black Cat,Black Cat,"['Hard rock', 'pop rock', 'dance-rock', 'glam metal']",1990,1974–present
3160,After 7,60,"[""Can't Stop""]",Can't Stop,"['R&B', 'new jack swing']",1990,1987–1997 2006–present
3161,Aerosmith,61,"[""Janie's Got a Gun""]",Janie's Got a Gun,"['Glam metal', 'hard rock', 'psychedelic rock', 'psychedelic pop']",1990,1970–present
3162,Digital Underground,62,The Humpty Dance,The Humpty Dance,"['Golden age hip hop', 'new jack swing', 'funk']",1990,1987–2008
3163,Taylor Dayne,63,"[""I'll Be Your Shelter""]",I'll Be Your Shelter,['Rock'],1990,1985–present
3164,Tom Petty,64,"[""Free Fallin'""]",Free Fallin',"['Heartland rock', 'folk rock']",1990,1967–2017
3165,Pebbles,65,Giving You the Benefit,Giving You the Benefit,['New jack swing'],1990,1980–present
3166,Depeche Mode,66,Enjoy the Silence,Enjoy the Silence,['Synth-pop'],1990,1980–present
3167,Tesla,67,Love Song,Love Song,['Glam metal'],1990,1981–1996 2000–present
3168,Bad English,68,Price of Love,Price of Love,['Glam metal'],1990,1987–1991
3169,Tyler Collins,69,Girls Nite Out,Girls Nite Out,['R&B'],1990,1987–present
3170,Go West,70,King of Wishful Thinking,King of Wishful Thinking,[],1990,1982–present
3171,Chicago,71,What Kind of Man Would I Be?,What Kind of Man Would I Be?,['Pop rock'],1990,1967–present
3172,Skid Row,72,I Remember You,I Remember You,['Glam metal'],1990,1986–1996 1999–present
3173,Technotronic,73,Get Up! (Before the Night Is Over),Get Up! (Before the Night Is Over),"['Eurodance', 'electronic', 'hip house']",1990,1987–2002
3174,Gloria Estefan,74,Here We Are,Here We Are,['Pop'],1990,1975–present
3175,Faith No More,75,Epic,Epic,"['Rap metal', 'rap rock', 'funk metal', 'alternative metal', 'hard rock']",1990,1979–1998 2009–present
3176,Mariah Carey,76,Love Takes Time,Love Takes Time,['PopR&B'],1990,1988–present
3177,Cher,77,Just Like Jesse James,Just Like Jesse James,['Rock'],1990,1963–present
3178,"[""The B-52's""]",78,Love Shack,Love Shack,['Pop rock'],1990,1976–present
3179,Milli Vanilli,79,All or Nothing,All or Nothing,[],1990,1988 1998
3180,Dino,80,Romeo,Romeo,['Pop'],1990,1987–1993
3181,Black Box,81,Everybody Everybody,Everybody Everybody,"['House', 'pop', 'eurodisco']",1990,1988–present
3182,Billy Joel,82,I Go to Extremes,I Go to Extremes,['Rock'],1990,1964
3183,Babyface,83,Whip Appeal,Whip Appeal,['R&B'],1990,1974–present
3184,Paul Young,84,Oh Girl,Oh Girl,"['R&B', 'soul']",1990,1978–present
3185,D Mob,85,"[""C'mon and Get My Love""]",C'mon and Get My Love,[],1990,1988–present 1989–present
3186,Paula Abdul,86,"[""(It's Just) The Way That You Love Me""]",(It's Just) The Way That You Love Me,[],1990,1978–present
3187,The Cover Girls,87,"""We Can't Go Wrong""","""We Can't Go Wrong""",[],1990,1986–1996 2001–present
3188,Michael Bolton,88,"[""When I'm Back on My Feet Again""]",When I'm Back on My Feet Again,[],1990,1975–present
3189,Keith Sweat,89,Make You Sweat,Make You Sweat,['New jack swing'],1990,1975–present
3190,New Kids on the Block,90,"[""This One's for the Children""]",This One's for the Children,['Pop'],1990,1984–1994 2008–present
3191,Aerosmith,91,What It Takes,What It Takes,['Country'],1990,1970–present
3192,Kiss,92,Forever,Forever,['Hard rock'],1990,1973–present
3193,The Time,93,Jerk Out,Jerk Out,"['Pop', 'funk', 'hip hop']",1990,1981–1985 1990–1991 1995–present
3194,Biz Markie,94,Just a Friend,Just a Friend,"['Pop rap', 'comedy hip hop']",1990,1985–2021
3195,"[""A'Me Lorain""]",95,"""Whole Wide World""","""Whole Wide World""",[],1990,
3196,Mötley Crüe,96,Without You,Without You,['Glam metal'],1990,1981
3197,Jive Bunny and the Mastermixers,97,Swing the Mood,Swing the Mood,"['Pop', 'rock and roll']",1990,1989
3198,Prince,98,Thieves in the Temple,Thieves in the Temple,"['Pop', 'dance']",1990,1975–2016
3199,Mellow Man Ace,99,Mentirosa,Mentirosa,['Latin hip hop'],1990,1987–present
3200,Kyper,100,"""Tic-Tac-Toe""","""Tic-Tac-Toe""",[],1990,1987-1995
3201,Bryan Adams,1,(Everything I Do) I Do It for You,(Everything I Do) I Do It for You,['Soft rock'],1991,1975–present
3202,Color Me Badd,2,I Wanna Sex You Up,I Wanna Sex You Up,['New jack swing'],1991,1985 1985 1998 2010–2019 2022–present
3203,C+C Music Factory,3,Gonna Make You Sweat (Everybody Dance Now),Gonna Make You Sweat (Everybody Dance Now),[],1991,1989 2011
3204,Paula Abdul,4,Rush Rush,Rush Rush,['PopR&B'],1991,1978–present
3205,Timmy T,5,One More Try,One More Try,['Pop'],1991,1989–present
3206,EMF,6,Unbelievable,Unbelievable,"['Dance-rock', 'alternative rock', 'alternative dance']",1991,1989–1997 2001–2002 2007–2009 2012–present
3207,Extreme,7,More Than Words,More Than Words,['Soft rock'],1991,1985–1996 2007–present 2004–2006
3208,Hi-Five,8,I Like the Way (The Kissing Game),I Like the Way (The Kissing Game),['New jack swing'],1991,1989
3209,Surface,9,The First Time,The First Time,['R&B'],1991,1983
3210,Amy Grant,10,Baby Baby,Baby Baby,['Pop'],1991,1976–present
3211,Boyz II Men,11,Motownphilly,Motownphilly,"['Soul', 'new jack swing', 'doo-wop']",1991,1985–present
3212,Stevie B,12,Because I Love You (The Postman Song),Because I Love You (The Postman Song),[],1991,1987–present
3213,Mariah Carey,13,Someday,Someday,['Dance-popnew jack swingR&B'],1991,1988–present
3214,Damn Yankees,14,High Enough,High Enough,['Glam metal'],1991,1989–1996 1998–2001 2004 2010
3215,Bette Midler,15,From a Distance,From a Distance,['Country'],1991,1965–present
3216,Whitney Houston,16,All the Man That I Need,All the Man That I Need,['R&Bpopsoul'],1991,1977–2012
3217,Jesus Jones,17,"Right Here, Right Now","Right Here, Right Now","['Alternative rock', 'alternative dance']",1991,1988–present
3218,Color Me Badd,18,I Adore Mi Amor,I Adore Mi Amor,['R&B'],1991,1985 1985 1998 2010–2019 2022–present
3219,Janet Jackson,19,Love Will Never Do (Without You),Love Will Never Do (Without You),"['Dance-pop', 'new jack swing']",1991,1974–present
3220,Marky Mark and the Funky Bunch,20,Good Vibrations,Good Vibrations,['Pop-raphip house'],1991,1991–1993 1967–2003
3221,Madonna,21,Justify My Love,Justify My Love,"['Hip hop', 'dance', 'trip-hop', 'experimental pop']",1991,1979–present
3222,Mariah Carey,22,Emotions,Emotions,"['R&B', 'post-disco', 'gospel']",1991,1988–present
3223,Roxette,23,Joyride,Joyride,['Pop rockdance rock'],1991,1986–2019
3224,Karyn White,24,Romantic,Romantic,"['Dance-pop', 'new jack swing']",1991,1986
3225,Tara Kemp,25,Hold You Tight,Hold You Tight,[],1991,1991
3226,Mariah Carey,26,"[""I Don't Wanna Cry""]",I Don't Wanna Cry,['Pop'],1991,1988–present
3227,Wilson Phillips,27,"[""You're in Love""]",You're in Love,[],1991,1989–1993 2001 2004–2006 2010–present
3228,Amy Grant,28,Every Heartbeat,Every Heartbeat,['CCMpop'],1991,1976–present
3229,Ralph Tresvant,29,Sensitivity,Sensitivity,"['R&B', 'new jack swing']",1991,1981–present
3230,Cathy Dennis,30,Touch Me (All Night Long),Touch Me (All Night Long),"['Freestyle', 'electro', 'post-disco']",1991,1989–present
3231,Londonbeat,31,"[""I've Been Thinking About You""]",I've Been Thinking About You,"['Dance-pop', 'Eurodance']",1991,1988–present
3232,Natural Selection,32,Do Anything,Do Anything,"['New jack swing', 'funk-pop']",1991,1989–2011
3233,R.E.M.,33,Losing My Religion,Losing My Religion,"['Alternative rock', 'folk rock']",1991,1980–2011
3234,Gloria Estefan,34,Coming Out of the Dark,Coming Out of the Dark,"['Pop', 'gospel']",1991,1975–present
3235,Lenny Kravitz,35,t Over ,It Ain't Over 'til It's Over,['Philadelphia soulpop'],1991,1989–present
3236,C+C Music Factory,36,Here We Go,Here We Go,"['Electronic rock', 'dance-pop']",1991,1989 2011
3237,Celine Dion,37,Where Does My Heart Beat Now,Where Does My Heart Beat Now,"['Pop', 'soft rock', 'ballad', 'adult contemporary']",1991,1980–present
3238,DJ Jazzy Jeff & The Fresh Prince,38,Summertime,Summertime,"['Hip hop', 'G-funk']",1991,1984–1994
3239,Scorpions,39,Wind of Change,Wind of Change,['Rock'],1991,1965–present
3240,Rythm Syndicate,40,P.A.S.S.I.O.N.,P.A.S.S.I.O.N.,[],1991,
3241,Paula Abdul,41,The Promise of a New Day,The Promise of a New Day,['Dance-pop'],1991,1978–present
3242,Whitney Houston,42,"[""I'm Your Baby Tonight""]",I'm Your Baby Tonight,"['R&B', 'new jack swing']",1991,1977–2012
3243,FireHouse,43,Love of a Lifetime,Love of a Lifetime,['Glam metal'],1991,1984–present
3244,Roxette,44,Fading Like a Flower (Every Time You Leave),Fading Like a Flower (Every Time You Leave),['Pop rock'],1991,1986–2019
3245,Tracie Spencer,45,This House,This House,[],1991,1987–2006
3246,Extreme,46,Hole Hearted,Hole Hearted,"['Acoustic rock', '', 'Pop rock']",1991,1985–1996 2007–present 2004–2006
3247,Luther Vandross,47,Power of Love/Love Power,Power of Love/Love Power,['R&B'],1991,1969–2004
3248,Wilson Phillips,48,Impulsive,Impulsive,[],1991,1989–1993 2001 2004–2006 2010–present
3249,Michael Bolton,49,Love Is a Wonderful Thing,Love Is a Wonderful Thing,[],1991,1975–present
3250,Rod Stewart,50,Rhythm of My Heart,Rhythm of My Heart,[],1991,1961–present
3251,C+C Music Factory,51,Things That Make You Go Hmmm...,Things That Make You Go Hmmm...,[],1991,1989 2011
3252,Divinyls,52,I Touch Myself,I Touch Myself,"['Soft rock', 'pub rock']",1991,1980–1996 2006–2009
3253,DNA,53,"[""Tom's Diner""]",Tom's Diner,"['Trip hop', 'electronic']",1991,1988–1998 1982–present
3254,Another Bad Creation,54,Iesha,Iesha,"['R&B', 'hip hop', 'new jack swing']",1991,1988–1993 2007
3255,Bonnie Raitt,55,Something to Talk About,Something to Talk About,[],1991,1971–present
3256,Nelson,56,After the Rain,After the Rain,"['Glam metal', 'arena rock', 'pop rock']",1991,1986–present
3257,Vanilla Ice,57,Play That Funky Music,Play That Funky Music,['Funk rock'],1991,1985–present
3258,Corina,58,Temptation,Temptation,['Freestyle'],1991,1989–present
3259,Bryan Adams,59,"[""Can't Stop This Thing We Started""]",Can't Stop This Thing We Started,[],1991,1975–present
3260,Hi-Five,60,"[""I Can't Wait Another Minute""]",I Can't Wait Another Minute,['R&B'],1991,1989
3261,The KLF,61,3 a.m. Eternal,3 a.m. Eternal,['House'],1991,1987
3262,Michael Bolton,62,"Time, Love and Tenderness","Time, Love and Tenderness",[],1991,1975–present
3263,Enigma,63,Sadeness (Part I),Sadeness (Part I),"['New-age', 'downtempo']",1991,1990–present
3264,LL Cool J,64,Around the Way Girl,Around the Way Girl,"['Golden age hip hop', 'East Coast hip hop', 'new jack swing', 'R&B', '']",1991,1984–present
3265,The Escape Club,65,"[""I'll Be There""]",I'll Be There,['Pop rock'],1991,1983–1992 2009–present
3266,Prince,66,Cream,Cream,"['Pop', 'funk', 'glam rock', 'R&B']",1991,1975–2016 1990–2013 2015 2017
3267,Heavy D & the Boyz,67,Now That We Found Love,Now That We Found Love,['Philadelphia soul'],1991,1986–2011
3268,Styx,68,Show Me the Way,Show Me the Way,['Soft rock'],1991,1972–1984 1990–1991 1995–present
3269,Mariah Carey,69,Love Takes Time,Love Takes Time,['PopR&B'],1991,1988–present
3270,Rick Astley,70,Cry for Help,Cry for Help,[],1991,1985–1993 2000–present
3271,UB40,71,The Way You Do the Things You Do,The Way You Do the Things You Do,['Soul'],1991,1978–present
3272,UB40,72,Here I Am (Come and Take Me),Here I Am (Come and Take Me),['Soul'],1991,1978–present
3273,Tesla,73,Signs,Signs,['Hard rock'],1991,1981–1996 2000–present
3274,Cathy Dennis,74,Too Many Walls,Too Many Walls,['Pop'],1991,1989–present
3275,Seal,75,Crazy,Crazy,"['Pop-funk', 'dance-rock']",1991,1987–present
3276,Keith Sweat,76,"[""I'll Give All My Love to You""]",I'll Give All My Love to You,['R&B'],1991,1975–present
3277,Michael W. Smith,77,Place in this World,Place in this World,['Christian rock'],1991,1983–present
3278,Poison,78,Something to Believe In,Something to Believe In,['Glam metal'],1991,1983–present
3279,Chris Isaak,79,Wicked Game,Wicked Game,"['Country', 'soft rock', 'rockabilly', 'folk rock']",1991,1978–present
3280,Oleta Adams,80,Get Here,Get Here,"['Pop', 'soul']",1991,1980–present
3281,Tevin Campbell,81,Round and Round,Round and Round,['R&B'],1991,1988–present
3282,Queensrÿche,82,Silent Lucidity,Silent Lucidity,"['Progressive rock', 'progressive metal', 'art rock']",1991,1982–present
3283,Will to Power,83,"[""I'm Not in Love""]",I'm Not in Love,"['Progressive pop', 'pop', 'soft rock']",1991,1987–present
3284,Tara Kemp,84,Piece of My Heart,Piece of My Heart,['R&B'],1991,1991
3285,Jesus Jones,85,Real Real Real,Real Real Real,[],1991,1988–present
3286,Aaron Neville,86,Everybody Plays the Fool,Everybody Plays the Fool,"['Soul', 'R&B']",1991,1960–present
3287,Cathy Dennis,87,Just Another Dream,Just Another Dream,"['House', 'dance-pop']",1991,1989–present
3288,Black Box,88,Strike It Up,Strike It Up,['Techno'],1991,1988–present
3289,Gerardo,89,Rico Suave,Rico Suave,"['Latin hip hop', 'hip hop']",1991,1987–present
3290,INXS,90,Disappear,Disappear,[],1991,1977–2012
3291,Deee-Lite,91,Groove Is in the Heart,Groove Is in the Heart,"['Disco', 'funk', 'house', 'hip hop', 'dance-pop']",1991,1986 2002
3292,Sting,92,All This Time,All This Time,[],1991,1971–present
3293,Chesney Hawkes,93,The One and Only,The One and Only,['Pop rock'],1991,1990–present
3294,Naughty by Nature,94,O.P.P.,O.P.P.,['Golden age hip hop'],1991,1986–2002 2006–present
3295,George Michael,95,"[""Freedom! '90""]",Freedom! '90,"['Pop', 'baggy', 'funk', 'soul']",1991,1981–2016
3296,Warrant,96,I Saw Red,I Saw Red,['Glam metal'],1991,1984–present
3297,Winger,97,Miles Away,Miles Away,['Glam metal'],1991,1987–1994 2001–2003 2006–present
3298,Salt-n-Pepa,98,Do You Want Me,Do You Want Me,['Hip hopR&B'],1991,1985–2002 2005–present
3299,Rod Stewart,99,The Motown Song,The Motown Song,[],1991,1961–present
